EXCEL FLASH FILL,,,,,write first row >drag down all>click on right side icon>flash fill or ctrl e,,,,,
,,,,,,,,,,
EMAIL,FIRST NAME,LAST NAME,DOMAIN NAME,,,,,,,
D.dwood@gmail.com,D,dwood,gmail,,,,,,,
ur.r@gmail.com,ur,r,gmail,,,,,,,
h.h@gmail.com,h,h,gmail,,,,,,,
a.aa@gmail.com,a,aa,gmail,,,,,,,
mu.a@gmail.com,mu,a,gmail,,,,,,,
,,,,,,,,,,
HOW TO ADD HYPER LINK ,,,write any name in cell>right click>insert link>ok>now you can access that website/youtube channel etc through that click,,,,,,,
,,,,,,,,,,
Esloques,,,,,,,,,,
,,,,,,,,,,
HOW TO PROTECT/LOCK CELL:,,,,,,,,,,
select worksheet>protection>password,,,,,,,,,,
,,,,,,,,,,
EXCEL PRINT METHOD:,,,,,,,,,,
1 METHOD :,,,,,,,,,,
file>print>print selection(then the area we have selected will only get printed)>for more setup use print setup below,,,,,,,,,,
,,,,,,,,,,
V STACK FUNCTION IN EXCEL(COMBINE DATA),,,,,,,,,,
,,,,,,,,,,
NORTH ZONE,,,SOUTH ZONE,,,EAST ZONE ,,,WEST ZONE,
EMP ID,EMP NAME,,EMP ID,EMP NAME,,EMP ID,EMP NAME,,EMP ID,EMP NAME
1,ali,,1,ibrahim,,1,areeba ,,1,sufiyan
2,mubashir,,2,qasim,,2,fatima,,2,shayan
3,ahmed,,3,hassan,,3,khan,,3,roomana 
4,affan,,4,quershi,,4,arooba,,4,jawaid
5,asad,,,,,,,,,
,,,,,,,,,,
EMPLOYEE NAME ,EMPLOYEE ID,,,,,,,,,
1,ali,,,,,,,,,
2,mubashir,,,,,,,,,
3,ahmed,,,,,,,,,
4,affan,,,,,,,,,
5,asad,,,,,,,,,
1,ibrahim,,,,,,,,,
2,qasim,,,,,,,,,
3,hassan,,,,,,,,,
4,quershi,,,,,,,,,
1,areeba ,,,,,,,,,
2,fatima,,,,,,,,,
3,khan,,,,,,,,,
4,arooba,,,,,,,,,
1,sufiyan,,,,,,,,,
2,shayan,,,,,,,,,
3,roomana ,,,,,,,,,
4,jawaid,,,,,,,,,
